id,name,prix
544,edge sa crime share,12.18
545,thank do article especially,67.86
546,include dinner main friend,287.99
547,capital hear morning people,55.43
548,between everybody size conference,45.7
549,item model true sell,13.8
550,guess want sound site,3.83
551,camera check forget respond,15.68
552,tonight experience toward like,27.51
553,ever bag respond detail,22.57
554,war commercial dream even,9.0
555,thing speech fire meeting,33.78
556,be this boy central,39.36
557,grow meet he shake,12.29
558,visit money record ability,74.84
559,stay clearly my threat,15.18
560,item blood need mention,24.47
561,ahead chair continue board,20.04
562,these president network actually,7.3
563,statement sort where on,21.15
564,clearly treatment for up,14.49
565,brother pretty local likely,78.32
566,better nor name physical,14.91
567,best but analysis glass,87.58
568,protect perform easy she,16.97
569,dinner other federal wind,19.71
570,current through debate everything,64.94
571,nice business fill both,448.75
572,only believe collection after,17.66
573,out learn how there,18.75
574,article listen ask trouble,15.38
575,together open whatever quite,14.41
576,let chance case art,158.1
577,think out address save,16.47
578,street consumer board follow,126.35
579,miss police energy soon,375.39
580,record world through base,31.21
581,look role at social,3.71
582,old rather seek show,15.22
583,good especially occur program,103.84
584,collection enjoy accept art,37.38
585,question side year deal,35.52
586,read ground war my,219.14
587,main rather street bank,18.06
588,attorney break sea kitchen,11.7
589,party loss watch organization,28.76
590,this group community purpose,102.0
591,market generation pull rather,71.33
592,environmental ever sort letter,6.9
593,voice author camera big,217.37
594,garden alone thank final,10.53
595,several traditional feeling lead,5.1
